Country,Athlete,Gender,Year,Location,Sport,Event,Medals Earned
France,"BRUNET, Pierre",Men,1928,St.Moritz,Skating,Pairs,1
France,"BRUNET, Pierre",Men,1932,Lake Placid,Skating,Pairs,1
France,"OREILLER, Henri",Men,1948,St.Moritz,Skiing,Alpine Combined,1
France,"OREILLER, Henri",Men,1948,St.Moritz,Skiing,Downhill,1
France,"VUARNET, Jean",Men,1960,Squaw Valley,Skiing,Downhill,1
France,"BONLIEU, Franí_ois",Men,1964,Innsbruck,Skiing,Giant Slalom,1
France,"KILLY, Jean-Claude",Men,1968,Grenoble,Skiing,Downhill,1
France,"KILLY, Jean-Claude",Men,1968,Grenoble,Skiing,Giant Slalom,1
France,"KILLY, Jean-Claude",Men,1968,Grenoble,Skiing,Slalom,1
France,"PICCARD, Franck",Men,1988,Calgary,Skiing,Super-G,1
France,"GROSPIRON, Edgar",Men,1992,Albertville,Skiing,Moguls,1
France,"GUY, Fabrice",Men,1992,Albertville,Skiing,Individual,1
France,"CRETIER, Jean-Luc",Men,1998,Nagano,Skiing,Downhill,1
France,"PEIZERAT, Gwendal",Men,2002,Salt Lake City,Skating,Ice Dancing,1
France,"VIDAL, Jean-Pierre",Men,2002,Salt Lake City,Skiing,Slalom,1
France,"DEFRASNE, Vincent",Men,2006,Turin,Biathlon,12.5Km Pursuit,1
France,"DENERIAZ, Antoine",Men,2006,Turin,Skiing,Downhill,1
France,"JAY, Vincent",Men,2010,Vancouver,Biathlon,10KM,1
France,"LAMY CHAPPUIS, Jason",Men,2010,Vancouver,Skiing,"Individual, Ski Jumping K90 (70M)",1
France,"FOURCADE, Martin",Men,2014,Sochi,Biathlon,12.5Km Pursuit,1
France,"FOURCADE, Martin",Men,2014,Sochi,Biathlon,20KM,1
France,"CHAPUIS, Jean Frederic",Men,2014,Sochi,Skiing,Ski Cross,1
France,"VAULTIER, Pierre",Men,2014,Sochi,Skiing,Snowboard Cross,1
France,"BRUNET, Andrí©e",Women,1928,St.Moritz,Skating,Pairs,1
France,"BRUNET, Andrí©e",Women,1932,Lake Placid,Skating,Pairs,1
France,"GOITSCHEL, Marielle",Women,1964,Innsbruck,Skiing,Giant Slalom,1
France,"GOITSCHEL, Christine",Women,1964,Innsbruck,Skiing,Slalom,1
France,"GOITSCHEL, Marielle",Women,1968,Grenoble,Skiing,Slalom,1
France,"BRIAND BOUTHIAUX, Anne",Women,1992,Albertville,Biathlon,4X7.5KM Relay,1
France,"CLAUDEL, Ví©ronique",Women,1992,Albertville,Biathlon,4X7.5KM Relay,1
France,"NIOGRET, Corinne",Women,1992,Albertville,Biathlon,4X7.5KM Relay,1
France,"RUBY, Karine",Women,1998,Nagano,Skiing,Giant-Slalom,1
France,"ANISSINA, Marina",Women,2002,Salt Lake City,Skating,Ice Dancing,1
France,"MONTILLET-CARLES, Carole",Women,2002,Salt Lake City,Skiing,Downhill,1
France,"BLANC, Isabelle",Women,2002,Salt Lake City,Skiing,Giant Parallel Slalom,1
France,"BAVEREL-ROBERT, Florence",Women,2006,Turin,Biathlon,7.5KM,1
